LCLid,tstp,energy(kWh/hh)
MAC000002,2012-10-12 00:30:00.0000000, 0 
MAC000002,2012-10-12 01:00:00.0000000, 0 
MAC000002,2012-10-12 01:30:00.0000000, 0 
MAC000002,2012-10-12 02:00:00.0000000, 0 
MAC000002,2012-10-12 02:30:00.0000000, 0 
MAC000002,2012-10-12 03:00:00.0000000, 0 
MAC000002,2012-10-12 03:30:00.0000000, 0 
MAC000002,2012-10-12 04:00:00.0000000, 0 
MAC000002,2012-10-12 04:30:00.0000000, 0 
MAC000002,2012-10-12 05:00:00.0000000, 0 
MAC000002,2012-10-12 05:30:00.0000000, 0 
MAC000002,2012-10-12 06:00:00.0000000, 0 
MAC000002,2012-10-12 06:30:00.0000000, 0 
MAC000002,2012-10-12 07:00:00.0000000, 0 
MAC000002,2012-10-12 07:30:00.0000000, 0 
MAC000002,2012-10-12 08:00:00.0000000, 0 
MAC000002,2012-10-12 08:30:00.0000000, 0 
MAC000002,2012-10-12 09:00:00.0000000, 0 
MAC000002,2012-10-12 09:30:00.0000000, 0 
MAC000002,2012-10-12 10:00:00.0000000, 0 
MAC000002,2012-10-12 10:30:00.0000000, 0 
MAC000002,2012-10-12 11:30:00.0000000, 0.143 
MAC000002,2012-10-12 12:00:00.0000000, 0.663 
MAC000002,2012-10-12 12:30:00.0000000, 0.256 
MAC000002,2012-10-12 13:00:00.0000000, 0.155 
MAC000002,2012-10-12 13:30:00.0000000, 0.199 
MAC000002,2012-10-12 14:00:00.0000000, 0.125 
MAC000002,2012-10-12 14:30:00.0000000, 0.165 
MAC000002,2012-10-12 15:00:00.0000000, 0.14 
MAC000002,2012-10-12 15:30:00.0000000, 0.148 
MAC000002,2012-10-12 16:00:00.0000000, 0.154 
MAC000002,2012-10-12 16:30:00.0000000, 0.137 
MAC000002,2012-10-12 17:00:00.0000000, 0.493 
MAC000002,2012-10-12 17:30:00.0000000, 0.354 
MAC000002,2012-10-12 18:00:00.0000000, 0.228 
MAC000002,2012-10-12 18:30:00.0000000, 0.195 
MAC000002,2012-10-12 19:00:00.0000000, 0.527 
MAC000002,2012-10-12 19:30:00.0000000, 0.886 
MAC000002,2012-10-12 20:00:00.0000000, 0.198 
MAC000002,2012-10-12 20:30:00.0000000, 0.243 
MAC000002,2012-10-12 21:00:00.0000000, 0.193 
MAC000002,2012-10-12 21:30:00.0000000, 0.342 
MAC000002,2012-10-12 22:00:00.0000000, 0.27 
MAC000002,2012-10-12 22:30:00.0000000, 0.325 
MAC000002,2012-10-12 23:00:00.0000000, 0.269 
MAC000002,2012-10-12 23:30:00.0000000, 0.29 
MAC000002,2012-10-13 00:00:00.0000000, 0.263 
MAC000002,2012-10-13 00:30:00.0000000, 0.269 
MAC000002,2012-10-13 01:00:00.0000000, 0.275 
MAC000002,2012-10-13 01:30:00.0000000, 0.256 
MAC000002,2012-10-13 02:00:00.0000000, 0.211 
MAC000002,2012-10-13 02:30:00.0000000, 0.136 
MAC000002,2012-10-13 03:00:00.0000000, 0.161 
MAC000002,2012-10-13 03:30:00.0000000, 0.119 
MAC000002,2012-10-13 04:00:00.0000000, 0.167 
MAC000002,2012-10-13 04:30:00.0000000, 0.109 
MAC000002,2012-10-13 05:00:00.0000000, 0.168 
MAC000002,2012-10-13 05:30:00.0000000, 0.107 
MAC000002,2012-10-13 06:00:00.0000000, 0.166 
MAC000002,2012-10-13 06:30:00.0000000, 0.117 
MAC000002,2012-10-13 07:00:00.0000000, 0.157 
MAC000002,2012-10-13 07:30:00.0000000, 0.126 
MAC000002,2012-10-13 08:00:00.0000000, 0.146 
MAC000002,2012-10-13 08:30:00.0000000, 0.106 
MAC000002,2012-10-13 09:00:00.0000000, 0.135 
MAC000002,2012-10-13 09:30:00.0000000, 0.191 
MAC000002,2012-10-13 10:00:00.0000000, 0.915 
MAC000002,2012-10-13 10:30:00.0000000, 0.933 
MAC000002,2012-10-13 11:00:00.0000000, 0.122 
MAC000002,2012-10-13 11:30:00.0000000, 0.138 
MAC000002,2012-10-13 12:00:00.0000000, 0.076 
MAC000002,2012-10-13 12:30:00.0000000, 0.133 
MAC000002,2012-10-13 13:00:00.0000000, 0.076 
MAC000002,2012-10-13 13:30:00.0000000, 0.133 
MAC000002,2012-10-13 14:00:00.0000000, 0.085 
MAC000002,2012-10-13 14:30:00.0000000, 0.263 
MAC000002,2012-10-13 15:00:00.0000000, 0.134 
MAC000002,2012-10-13 15:30:00.0000000, 0.235 
MAC000002,2012-10-13 16:00:00.0000000, 0.124 
MAC000002,2012-10-13 16:30:00.0000000, 0.184 
MAC000002,2012-10-13 17:00:00.0000000, 0.23 
MAC000002,2012-10-13 17:30:00.0000000, 0.176 
MAC000002,2012-10-13 18:00:00.0000000, 0.388 
MAC000002,2012-10-13 18:30:00.0000000, 0.26 
MAC000002,2012-10-13 19:00:00.0000000, 0.918 
MAC000002,2012-10-13 19:30:00.0000000, 0.278 
MAC000002,2012-10-13 20:00:00.0000000, 0.267 
MAC000002,2012-10-13 20:30:00.0000000, 0.239 
MAC000002,2012-10-13 21:00:00.0000000, 0.23 
MAC000002,2012-10-13 21:30:00.0000000, 0.233 
MAC000002,2012-10-13 22:00:00.0000000, 0.235 
MAC000002,2012-10-13 22:30:00.0000000, 0.188 
MAC000002,2012-10-13 23:00:00.0000000, 0.259 
MAC000002,2012-10-13 23:30:00.0000000, 0.25 
MAC000002,2012-10-14 00:00:00.0000000, 0.262 
MAC000002,2012-10-14 00:30:00.0000000, 0.166 
MAC000002,2012-10-14 01:00:00.0000000, 0.226 
MAC000002,2012-10-14 01:30:00.0000000, 0.088 
MAC000002,2012-10-14 02:00:00.0000000, 0.126 
MAC000002,2012-10-14 02:30:00.0000000, 0.082 
